subject_ids,classifications,workflow_id,workflow_version,file-name,advance,flag
13289418,5,427,6.20,,advance,1
13289419,5,427,6.20,,retire,0
13289420,5,427,6.20,,retire,0
13289421,5,427,6.20,,retire,0
13289422,5,427,6.20,,advance,1
13289423,5,427,6.20,,advance,1
13289424,5,427,6.20,,advance,1
13289425,5,427,6.20,,advance,1
13289426,5,427,6.20,,advance,1
13289427,5,427,6.20,,advance,1
13289428,5,427,6.20,,advance,1
13289429,5,427,6.20,,advance,1
13289430,5,427,6.20,,advance,1
13289431,5,427,6.20,,retire,0
13289432,5,427,6.20,,advance,1
13289433,5,427,6.20,,advance,1
13289434,5,427,6.20,,advance,1
13289435,5,427,6.20,,advance,1
13289436,5,427,6.20,,advance,1
13289437,5,427,6.20,,advance,1
13289438,5,427,6.20,,advance,1
13289439,5,427,6.20,,advance,1
13289440,5,427,6.20,,advance,1
13289441,5,427,6.20,,retire,0
13289442,5,427,6.20,,advance,1
13289443,5,427,6.20,,advance,1
13289444,5,427,6.20,,advance,1
13289445,5,427,6.20,,advance,1
13289446,5,427,6.20,,advance,1
13289447,5,427,6.20,,advance,1
13289448,5,427,6.20,,advance,1
13289449,5,427,6.20,,advance,1
13289450,5,427,6.20,,advance,1
13289451,5,427,6.20,,advance,1
13289452,5,427,6.20,,advance,1
13289453,5,427,6.20,,retire,0
13289454,5,427,6.20,,advance,1
13289455,5,427,6.20,,advance,1
13289456,5,427,6.20,,advance,1
13289457,5,427,6.20,,advance,1
13289458,5,427,6.20,,advance,1
13289459,5,427,6.20,,advance,1
13289460,5,427,6.20,,advance,1
13289461,5,427,6.20,,advance,1
13289462,5,427,6.20,,advance,1
13289463,5,427,6.20,,advance,1
13289464,5,427,6.20,,advance,1
13289465,5,427,6.20,,advance,1
13289466,5,427,6.20,,advance,1
13289467,5,427,6.20,,advance,1
13289468,5,427,6.20,,advance,1
13289469,5,427,6.20,,advance,1
13289470,5,427,6.20,,advance,1
13289471,5,427,6.20,,advance,1
13289472,5,427,6.20,,advance,1
13289473,5,427,6.20,,advance,1
13289474,5,427,6.20,,advance,1
13289475,5,427,6.20,,retire,0
13289476,5,427,6.20,,advance,1
13289477,5,427,6.20,,advance,1
13289478,5,427,6.20,,advance,1
13289479,5,427,6.20,,retire,0
13289480,5,427,6.20,,advance,1
13289481,5,427,6.20,,retire,0
13289482,5,427,6.20,,advance,1
13289483,5,427,6.20,,advance,1
13289484,5,427,6.20,,advance,1
13289485,5,427,6.20,,advance,1
13289486,5,427,6.20,,advance,1
13289487,5,427,6.20,,advance,1
13289488,5,427,6.20,,advance,1
13289489,5,427,6.20,,advance,1
13289490,5,427,6.20,,advance,1
13289491,5,427,6.20,,advance,1
13289492,5,427,6.20,,advance,1
13289493,5,427,6.20,,advance,1
13289494,5,427,6.20,,advance,1
13289495,5,427,6.20,,advance,1
13289496,5,427,6.20,,advance,1
13289497,5,427,6.20,,advance,1
